ID,medv
3,30.97882915
6,25.7380507
8,18.83844876
9,10.16869709
10,18.56994101
18,17.28466336
20,18.80439923
25,15.90699692
26,13.48737354
27,15.83070651
29,20.11650192
30,21.53159208
33,8.312764076
34,14.11684165
36,23.32931964
37,21.78993741
38,23.07215915
42,28.72988803
49,7.491173107
53,27.94194491
60,21.16604965
63,24.26692873
70,21.40189969
72,21.91050834
79,21.49153632
80,22.68741929
83,26.08232771
92,27.03397358
93,27.9677278
96,28.39253822
98,35.98170527
99,35.59756819
100,32.27855741
105,21.41106332
106,18.06432386
111,21.02953085
113,20.25950258
114,20.27109672
116,19.95738182
126,21.03183763
130,14.41285301
131,20.86156203
133,21.02424086
136,17.87155529
141,13.62773617
144,12.48979006
145,8.646438595
147,16.21975111
152,18.99123876
153,21.49387677
156,21.63897826
158,33.05366731
163,41.53094373
169,25.80714517
185,21.08071856
186,23.6018938
189,32.15894904
196,39.99057521
197,35.86034014
199,34.27223129
200,30.86366888
203,37.2396331
208,17.081423
210,16.15829205
211,22.03649827
213,22.64531756
216,24.37184868
218,27.63966655
219,24.0249612
220,29.44057279
221,32.89282558
229,35.73148104
232,33.02686134
238,32.72338207
239,28.33488634
240,28.13086611
242,22.93128661
246,13.28492604
248,20.25932628
253,26.75884954
255,24.47122536
256,22.1136497
257,36.63675334
258,42.84670436
259,35.42039822
260,33.87689742
268,40.02517329
270,25.19079453
271,21.49408004
276,33.20291389
277,35.77641769
278,35.1762193
279,29.49798154
281,37.89311732
288,26.61912497
290,26.52193228
292,33.74337498
295,23.93004629
296,28.60628892
299,29.08225918
300,32.1831838
301,30.63827045
308,31.22784593
314,25.46518628
315,25.51630211
320,21.45994125
322,25.23076082
323,23.21057501
324,19.28403626
327,24.59144135
330,25.50025663
332,20.11898505
333,23.7827806
336,21.4040362
338,19.56200555
346,18.07777031
347,16.12435256
351,22.38885516
352,22.7048362
354,26.00601205
355,16.07218373
356,18.55501188
362,20.00089403
364,21.7312222
365,39.91864533
370,33.83219093
376,27.1124195
379,17.29174888
380,17.77659964
381,22.27084403
382,19.42290446
386,8.446883659
389,6.515928716
391,17.65602481
394,20.99229827
396,20.98930851
398,16.5527323
400,10.9294686
403,18.79491307
405,10.27096101
406,13.63254099
407,8.395974844
410,19.97666176
411,18.54978422
412,16.75253773
413,0.735490905
417,13.43109108
421,20.69482302
422,18.74807137
423,18.89124743
424,12.45070557
427,16.39676327
431,17.80103905
436,14.15307574
437,15.66071674
439,5.077339864
447,18.45290704
450,17.8741125
451,16.96807809
455,15.96932061
457,12.79188926
471,20.19903815
474,26.26574274
476,15.45886626
483,29.2726867
486,23.12189056
490,9.28866555
495,20.93914221
496,17.199407
497,13.71848084
499,21.49542898
501,20.5093984
505,26.65634834
